entry,at,order
"The player ""Cal @ E18ViE79KI"" passed the room ownership to ""Jentz @ hiDcyv1umf"".",2024-09-20T08:19:47.728Z,172682038772800
"The player ""Cal @ E18ViE79KI"" quits the game with a stack of 0.00.",2024-09-20T08:11:30.765Z,172681989076500
"-- ending hand #218 --",2024-09-20T08:11:22.756Z,172681988275602
"""DLA @ tH-zqsM1Dh"" collected 86.19 from pot with Straight, 8 High on the second run  (combination: 8♦, 7♥, 6♦, 5♦, 4♦)",2024-09-20T08:11:22.756Z,172681988275601
"""DLA @ tH-zqsM1Dh"" collected 86.19 from pot with Straight, 8 High (combination: 8♦, 7♥, 6♦, 5♦, 4♦)",2024-09-20T08:11:22.756Z,172681988275600
"River (second run): 5♦, 7♥, 6♦, 3♥ [6♠]",2024-09-20T08:11:18.720Z,172681987872000
"River: 5♦, 7♥, 6♦, 3♥ [A♠]",2024-09-20T08:11:14.711Z,172681987471100
"""DLA @ tH-zqsM1Dh"" shows a 8♦, 4♦.",2024-09-20T08:11:10.708Z,172681987070801
"""Cal @ E18ViE79KI"" shows a 8♠, A♣.",2024-09-20T08:11:10.708Z,172681987070800
"All players in hand choose to run it twice.",2024-09-20T08:11:09.844Z,172681986984401
"""DLA @ tH-zqsM1Dh"" chooses to  run it twice.",2024-09-20T08:11:09.844Z,172681986984400
"""Cal @ E18ViE79KI"" chooses to  run it twice.",2024-09-20T08:11:09.831Z,172681986983100
"Remaining players decide whether to run it twice.",2024-09-20T08:11:07.907Z,172681986790701
"""DLA @ tH-zqsM1Dh"" calls 75.19",2024-09-20T08:11:07.907Z,172681986790700
"""Cal @ E18ViE79KI"" raises to 75.19 and go all in",2024-09-20T08:11:05.873Z,172681986587300
"""DLA @ tH-zqsM1Dh"" bets 16.00",2024-09-20T08:10:52.601Z,172681985260100
"Turn: 5♦, 7♥, 6♦ [3♥]",2024-09-20T08:10:39.123Z,172681983912300
"""Cal @ E18ViE79KI"" calls 8.00",2024-09-20T08:10:38.299Z,172681983829900
"""DLA @ tH-zqsM1Dh"" raises to 8.00",2024-09-20T08:10:32.972Z,172681983297200
"""Cal @ E18ViE79KI"" bets 2.00",2024-09-20T08:10:23.683Z,172681982368300
"""DLA @ tH-zqsM1Dh"" checks",2024-09-20T08:10:18.432Z,172681981843200
"Flop:  [5♦, 7♥, 6♦]",2024-09-20T08:10:16.418Z,172681981641800
"""DLA @ tH-zqsM1Dh"" calls 3.00",2024-09-20T08:10:15.537Z,172681981553700
"""Cal @ E18ViE79KI"" raises to 3.00",2024-09-20T08:10:13.309Z,172681981330900
"""DLA @ tH-zqsM1Dh"" posts a big blind of 1.00",2024-09-20T08:10:11.004Z,172681981100405
"""Cal @ E18ViE79KI"" posts a small blind of 0.50",2024-09-20T08:10:11.004Z,172681981100404
"Player stacks: #2 ""Cal @ E18ViE79KI"" (86.19) | #9 ""DLA @ tH-zqsM1Dh"" (246.48)",2024-09-20T08:10:11.004Z,172681981100401
"-- starting hand #218 (id: 39xz1crdasdc)  (No Limit Texas Hold'em) (dealer: ""Cal @ E18ViE79KI"") --",2024-09-20T08:10:11.004Z,172681981100400
"-- ending hand #217 --",2024-09-20T08:10:08.010Z,172681980801002
"""DLA @ tH-zqsM1Dh"" collected 6.00 from pot",2024-09-20T08:10:08.010Z,172681980801001
"Uncalled bet of 2.00 returned to ""DLA @ tH-zqsM1Dh""",2024-09-20T08:10:08.010Z,172681980801000
"""Cal @ E18ViE79KI"" folds",2024-09-20T08:10:07.195Z,172681980719500
